2026-09-08 17:38:48.116 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-09-08 17:38:48.358 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-09-08 17:38:48.361 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-09-08 17:38:48.362 +02:00 [INF] Discovered 0 plugins:

2026-09-08 17:38:48.831 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-09-08 17:38:50.451 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-09-08 17:38:50.477 +02:00 [INF] Connected [ecd67f4b-e021-48d8-b0b2-15aaf2f9e503].
2026-09-08 17:38:50.489 +02:00 [INF] Connection approved [ecd67f4b-e021-48d8-b0b2-15aaf2f9e503].
2026-09-08 17:38:50.620 +02:00 [INF] Updated PermissionSet 'default'
2026-09-08 17:38:54.453 +02:00 [INF] Updated PermissionSet 'admin'
2026-09-08 17:38:54.453 +02:00 [INF] Updating active permission set to 'admin'
2026-09-08 17:38:57.573 +02:00 [WRN] 'Me' is null.
2026-09-08 17:38:58.859 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 64.9695ms
2026-09-08 17:38:58.874 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 11.7153ms
2026-09-08 17:38:58.898 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 18.3839ms
2026-09-08 17:38:59.023 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 122.0941ms
2026-09-08 17:39:59.498 +02:00 [INF] Client frame profile: measured=110.4fps counter=108 targetMode=-1; interval=9.05/21.93ms avg/max; update=0.08/0.61ms (1.00 calls/frame); draw=8.77/21.71ms; world=7.27/10.28ms [scene=7.04/9.93, scene-detail=[tiles=1.10ms/46.0draws (geometry=0.66ms/46.0draws, water=0.43ms/0.0draws), objects=4.83ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.37ms/5.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.05ms], lighting=0.03/0.06, post=0.04/0.08, overlays=0.07/0.13, other=0.10]; gui=1.47/11.68ms [update=1.14/11.29 (minimap=0.85/10.81 [compact=0.85, fullmap=0.00/0.00], other=0.29), render=0.33/4.02, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.21ms; draws=181, maps=4, entities=23, lights=3
2026-09-08 17:40:04.498 +02:00 [INF] Client frame profile: measured=103.6fps counter=95 targetMode=-1; interval=9.65/68.78ms avg/max; update=0.14/10.41ms (1.00 calls/frame); draw=9.27/61.87ms; world=7.25/13.15ms [scene=7.01/12.86, scene-detail=[tiles=1.03ms/44.0draws (geometry=0.59ms/44.0draws, water=0.44ms/0.0draws), objects=4.79ms/86.1draws, procedural=0.00ms/0.0draws, entities=0.42ms/5.9draws, effects=0.10ms/2.0draws, weather=0.63ms/0.0draws, other=0.05ms], lighting=0.03/0.06, post=0.04/0.09, overlays=0.07/0.33, other=0.10]; gui=1.99/50.95ms [update=1.43/11.96 (minimap=1.02/10.99 [compact=1.02, fullmap=0.00/0.00], other=0.41), render=0.55/40.89, other=0.00]; finish=0.02/0.07ms; outside-update-draw=0.24ms; draws=235, maps=2, entities=23, lights=3
2026-09-08 17:40:09.504 +02:00 [INF] Client frame profile: measured=97.1fps counter=99 targetMode=-1; interval=10.30/23.77ms avg/max; update=0.11/4.39ms (1.00 calls/frame); draw=9.89/23.35ms; world=7.13/10.56ms [scene=6.95/10.23, scene-detail=[tiles=1.01ms/44.0draws (geometry=0.57ms/44.0draws, water=0.44ms/0.0draws), objects=4.84ms/86.2draws, procedural=0.00ms/0.0draws, entities=0.37ms/7.0draws, effects=0.08ms/2.0draws, weather=0.62ms/0.0draws, other=0.04ms], lighting=0.03/0.06, post=0.03/0.12, overlays=0.06/0.54, other=0.07]; gui=2.72/14.89ms [update=1.62/12.74 (minimap=0.97/11.42 [compact=0.97, fullmap=0.00/0.00], other=0.65), render=1.10/2.14, other=0.00]; finish=0.02/0.52ms; outside-update-draw=0.30ms; draws=275, maps=4, entities=17, lights=2
2026-09-08 17:40:14.511 +02:00 [INF] Client frame profile: measured=110.6fps counter=114 targetMode=-1; interval=9.04/18.83ms avg/max; update=0.07/0.84ms (1.00 calls/frame); draw=8.79/18.42ms; world=7.04/9.91ms [scene=6.87/9.63, scene-detail=[tiles=1.06ms/46.0draws (geometry=0.62ms/46.0draws, water=0.43ms/0.0draws), objects=4.76ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/6.6draws, effects=0.07ms/2.0draws, weather=0.61ms/0.0draws, other=0.04ms], lighting=0.02/0.04, post=0.03/0.05, overlays=0.05/0.09, other=0.06]; gui=1.73/11.22ms [update=1.33/10.73 (minimap=0.79/9.84 [compact=0.79, fullmap=0.00/0.00], other=0.55), render=0.39/1.33, other=0.00]; finish=0.02/0.09ms; outside-update-draw=0.17ms; draws=183, maps=4, entities=17, lights=2
2026-09-08 17:40:19.519 +02:00 [INF] Client frame profile: measured=112.6fps counter=109 targetMode=-1; interval=8.88/24.68ms avg/max; update=0.08/4.81ms (1.00 calls/frame); draw=8.68/24.61ms; world=7.05/23.07ms [scene=6.87/18.61, scene-detail=[tiles=1.05ms/46.0draws (geometry=0.62ms/46.0draws, water=0.43ms/0.0draws), objects=4.78ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/4.8draws, effects=0.07ms/2.0draws, weather=0.61ms/0.0draws, other=0.04ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.06/4.31, other=0.06]; gui=1.61/11.15ms [update=1.30/10.77 (minimap=0.79/9.85 [compact=0.79, fullmap=0.00/0.00], other=0.51), render=0.30/0.64, other=0.00]; finish=0.02/0.05ms; outside-update-draw=0.12ms; draws=185, maps=4, entities=17, lights=2
2026-09-08 17:40:24.527 +02:00 [INF] Client frame profile: measured=104.4fps counter=109 targetMode=-1; interval=9.58/22.07ms avg/max; update=0.08/3.21ms (1.00 calls/frame); draw=9.21/20.97ms; world=7.36/12.81ms [scene=7.17/12.48, scene-detail=[tiles=1.11ms/46.0draws (geometry=0.66ms/46.0draws, water=0.45ms/0.0draws), objects=4.99ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/3.8draws, effects=0.07ms/2.7draws, weather=0.63ms/0.0draws, other=0.05ms], lighting=0.02/0.05, post=0.04/0.10, overlays=0.05/0.13, other=0.07]; gui=1.79/13.26ms [update=1.63/13.03 (minimap=0.93/11.65 [compact=0.93, fullmap=0.00/0.00], other=0.70), render=0.16/0.78, other=0.00]; finish=0.05/3.73ms; outside-update-draw=0.29ms; draws=155, maps=4, entities=22, lights=3
2026-09-08 17:40:29.532 +02:00 [INF] Client frame profile: measured=97.9fps counter=61 targetMode=-1; interval=10.21/45.76ms avg/max; update=0.08/0.79ms (1.00 calls/frame); draw=9.20/23.19ms; world=7.35/11.60ms [scene=7.14/11.27, scene-detail=[tiles=1.13ms/46.0draws (geometry=0.69ms/46.0draws, water=0.44ms/0.0draws), objects=4.96ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.31ms/2.1draws, effects=0.06ms/1.9draws, weather=0.62ms/0.0draws, other=0.06ms], lighting=0.02/0.07, post=0.04/0.12, overlays=0.06/0.16, other=0.10]; gui=1.82/14.15ms [update=1.74/13.62 (minimap=1.10/11.37 [compact=1.10, fullmap=0.00/0.00], other=0.63), render=0.08/0.51, other=0.00]; finish=0.02/0.16ms; outside-update-draw=0.94ms; draws=154, maps=4, entities=22, lights=3
2026-09-08 17:40:34.536 +02:00 [INF] Client frame profile: measured=56.0fps counter=32 targetMode=-1; interval=17.87/40.41ms avg/max; update=0.09/0.46ms (1.00 calls/frame); draw=9.86/20.60ms; world=7.41/10.45ms [scene=7.19/10.22, scene-detail=[tiles=1.19ms/46.0draws (geometry=0.74ms/46.0draws, water=0.45ms/0.0draws), objects=5.01ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.25ms/1.0draws, effects=0.07ms/2.0draws, weather=0.62ms/0.0draws, other=0.06ms], lighting=0.02/0.04, post=0.04/0.07, overlays=0.06/0.09, other=0.10]; gui=2.41/11.93ms [update=2.33/11.82 (minimap=1.64/10.88 [compact=1.64, fullmap=0.00/0.00], other=0.70), render=0.08/0.37, other=0.00]; finish=0.02/0.05ms; outside-update-draw=7.92ms; draws=154, maps=4, entities=22, lights=3
2026-09-08 17:40:39.568 +02:00 [INF] Client frame profile: measured=31.2fps counter=32 targetMode=-1; interval=32.06/40.00ms avg/max; update=0.14/0.28ms (1.00 calls/frame); draw=11.31/19.04ms; world=7.66/10.79ms [scene=7.43/10.55, scene-detail=[tiles=1.27ms/46.0draws (geometry=0.81ms/46.0draws, water=0.45ms/0.0draws), objects=5.11ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.27ms/1.0draws, effects=0.08ms/2.0draws, weather=0.63ms/0.0draws, other=0.06ms], lighting=0.03/0.05, post=0.04/0.07, overlays=0.07/0.13, other=0.11]; gui=3.60/11.25ms [update=3.50/11.15 (minimap=2.62/10.26 [compact=2.62, fullmap=0.00/0.00], other=0.88), render=0.10/0.48, other=0.00]; finish=0.02/0.04ms; outside-update-draw=20.61ms; draws=154, maps=4, entities=22, lights=3
2026-09-08 17:40:44.571 +02:00 [INF] Client frame profile: measured=30.8fps counter=31 targetMode=-1; interval=32.49/43.80ms avg/max; update=0.14/0.50ms (1.00 calls/frame); draw=11.70/22.81ms; world=7.76/11.25ms [scene=7.52/10.97, scene-detail=[tiles=1.29ms/46.0draws (geometry=0.83ms/46.0draws, water=0.46ms/0.0draws), objects=5.14ms/87.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/2.5draws, effects=0.08ms/2.0draws, weather=0.63ms/0.0draws, other=0.06ms], lighting=0.02/0.04, post=0.04/0.05, overlays=0.07/0.12, other=0.11]; gui=3.90/14.06ms [update=3.80/13.90 (minimap=2.93/12.43 [compact=2.93, fullmap=0.00/0.00], other=0.87), render=0.09/0.38, other=0.00]; finish=0.02/0.05ms; outside-update-draw=20.64ms; draws=156, maps=4, entities=22, lights=3
