2026-04-30 01:25:27.337 +06:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-04-30 01:25:27.573 +06:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-04-30 01:25:27.576 +06:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-04-30 01:25:27.577 +06:00 [INF] Discovered 0 plugins:

2026-04-30 01:25:29.716 +06:00 [INF] Connecting to 127.0.0.1:5400...
2026-04-30 01:25:29.734 +06:00 [INF] Connected [6ba51565-b5dd-47b6-b96f-d8b3232a6149].
2026-04-30 01:25:29.754 +06:00 [INF] Connection approved [6ba51565-b5dd-47b6-b96f-d8b3232a6149].
2026-04-30 01:25:29.852 +06:00 [INF] Updated PermissionSet 'default'
2026-04-30 01:25:34.188 +06:00 [INF] Updated PermissionSet 'admin'
2026-04-30 01:25:34.188 +06:00 [INF] Updating active permission set to 'admin'
2026-04-30 01:25:53.162 +06:00 [WRN] 'Me' is null.
2026-04-30 01:25:53.749 +06:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 14.2877ms
2026-04-30 01:25:53.762 +06:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 8.3503ms
2026-04-30 01:26:29.321 +06:00 [WRN] 'Me' is null.
2026-04-30 01:26:29.384 +06:00 [WRN] Tried to load entity "31d24595-6847-4bec-b802-87b05f4da3a9" (Oran) from packet before in-game UI was ready
2026-04-30 01:26:29.385 +06:00 [WRN] Tried to load entity "31d24595-6847-4bec-b802-87b05f4da3a9" (Oran) from packet before in-game UI was ready
2026-04-30 01:26:29.662 +06:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 7.4548ms
2026-04-30 01:26:29.665 +06:00 [INF] Built VBO for map 27c6a7b2-4e9f-4316-9a0f-e13ec8e16ba2 'Forest' in 2.3341ms
2026-04-30 01:29:41.598 +06:00 [INF] Built VBO for map c15f8299-8999-471f-9760-388ff4cdec7c 'test' in 8.1211ms
2026-04-30 01:29:43.741 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:43.806 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:43.857 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:43.925 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:43.991 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.058 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.126 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.173 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.241 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.308 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.359 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.426 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.491 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.558 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.625 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.676 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.740 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.807 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.860 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.927 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:44.995 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.060 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.130 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.176 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.245 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.310 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.361 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.427 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.495 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.562 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.609 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.677 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.744 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.801 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.865 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.931 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:45.996 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.049 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.111 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.178 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.264 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.294 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.364 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.430 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.501 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.545 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.613 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.679 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.733 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.798 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.865 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.930 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:46.979 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.047 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.115 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.180 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.231 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.297 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.364 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.431 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.479 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.566 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.614 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.663 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.733 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.798 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.866 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.917 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:47.982 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.048 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.101 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.165 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.233 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.284 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.349 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.416 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.468 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.531 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.598 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.669 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.732 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.798 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.865 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.917 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:48.983 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.050 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.117 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.167 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.233 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.302 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.367 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.418 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.484 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.553 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.607 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.667 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:49.734 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
2026-04-30 01:29:51.154 +06:00 [WRN] 'TargetBox' is null.
