2026-08-28 18:01:31.210 +02:00 [INF] Starting Intersect Client v0.8.0.0-custom+32d39132dace1351f63375b261f241297dd35be8-dirty
2026-08-28 18:01:31.455 +02:00 [INF] Discovered service type: Intersect.Plugins.PluginService
2026-08-28 18:01:31.458 +02:00 [WRN] Directory was specified as a plugin directory but does not exist: 'resources\plugins'
2026-08-28 18:01:31.459 +02:00 [INF] Discovered 0 plugins:

2026-08-28 18:01:32.006 +02:00 [INF] Graphics pacing configured: targetMode=-1, vsync=false, fixedStep=false, backBuffer=1760x990
2026-08-28 18:01:33.902 +02:00 [INF] Connecting to 127.0.0.1:5400...
2026-08-28 18:01:33.926 +02:00 [INF] Connected [09a3a30e-dc71-4e94-9d51-ed52702ab128].
2026-08-28 18:01:33.942 +02:00 [INF] Connection approved [09a3a30e-dc71-4e94-9d51-ed52702ab128].
2026-08-28 18:01:34.055 +02:00 [INF] Updated PermissionSet 'default'
2026-08-28 18:01:37.892 +02:00 [INF] Updated PermissionSet 'admin'
2026-08-28 18:01:37.892 +02:00 [INF] Updating active permission set to 'admin'
2026-08-28 18:01:45.761 +02:00 [WRN] 'Me' is null.
2026-08-28 18:01:46.989 +02:00 [INF] Built VBO for map 9802b09c-f592-4d93-8e11-d3424500716c 'Deep Forest' in 61.178ms
2026-08-28 18:01:47.005 +02:00 [INF] Built VBO for map 15601ad4-9f26-4abe-a6c9-3a7eebaa3045 'Forest' in 12.1636ms
2026-08-28 18:01:47.028 +02:00 [INF] Built VBO for map d490222a-af25-4a7f-bec3-7ca8016e08d7 'New Map' in 17.617ms
2026-08-28 18:01:47.159 +02:00 [INF] Built VBO for map a31f210c-f5fb-48bf-9db2-45fab2293a4c 'Forest' in 127.8458ms
2026-08-28 18:02:47.612 +02:00 [INF] Client frame profile: measured=54.3fps counter=64 targetMode=-1; interval=18.41/44.09ms avg/max; update=0.10/0.28ms (1.00 calls/frame); draw=9.64/26.02ms; world=6.97/11.82ms [scene=6.74/11.40, scene-detail=[tiles=0.72ms/26.0draws (geometry=0.43ms/26.0draws, water=0.28ms/0.0draws), objects=5.15ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.34ms/2.0draws, effects=0.07ms/1.7draws, weather=0.36ms/0.0draws, other=0.11ms], lighting=0.03/0.06, post=0.03/0.07, overlays=0.07/0.15, other=0.11]; gui=2.63/14.13ms [update=2.15/13.05 (minimap=1.65/12.25 [compact=1.65, fullmap=0.00/0.00], other=0.50), render=0.48/1.19, other=0.00]; finish=0.03/0.06ms; outside-update-draw=8.67ms; draws=133, maps=2, entities=23, lights=5
2026-08-28 18:02:52.614 +02:00 [INF] Client frame profile: measured=85.0fps counter=67 targetMode=-1; interval=11.77/39.03ms avg/max; update=0.08/0.74ms (1.00 calls/frame); draw=8.87/19.34ms; world=6.75/9.66ms [scene=6.53/9.36, scene-detail=[tiles=0.67ms/26.0draws (geometry=0.40ms/26.0draws, water=0.27ms/0.0draws), objects=5.01ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.32ms/2.0draws, effects=0.07ms/2.0draws, weather=0.35ms/0.0draws, other=0.10ms], lighting=0.02/0.08, post=0.03/0.08, overlays=0.06/0.12, other=0.10]; gui=2.10/11.49ms [update=1.65/11.05 (minimap=1.25/10.58 [compact=1.25, fullmap=0.00/0.00], other=0.40), render=0.44/0.80, other=0.00]; finish=0.02/0.04ms; outside-update-draw=2.82ms; draws=129, maps=2, entities=23, lights=5
2026-08-28 18:02:57.618 +02:00 [INF] Client frame profile: measured=117.1fps counter=119 targetMode=-1; interval=8.54/19.70ms avg/max; update=0.05/0.29ms (1.00 calls/frame); draw=8.38/19.58ms; world=6.65/11.13ms [scene=6.44/10.79, scene-detail=[tiles=0.63ms/26.0draws (geometry=0.36ms/26.0draws, water=0.27ms/0.0draws), objects=4.97ms/63.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/3.1draws, effects=0.06ms/2.0draws, weather=0.35ms/0.0draws, other=0.10ms], lighting=0.02/0.06, post=0.03/0.09, overlays=0.06/0.14, other=0.10]; gui=1.70/11.96ms [update=1.28/11.49 (minimap=0.96/10.99 [compact=0.96, fullmap=0.00/0.00], other=0.32), render=0.42/0.98, other=0.00]; finish=0.02/0.11ms; outside-update-draw=0.11ms; draws=131, maps=2, entities=23, lights=5
2026-08-28 18:03:02.622 +02:00 [INF] Client frame profile: measured=114.3fps counter=100 targetMode=-1; interval=8.75/74.61ms avg/max; update=0.06/2.97ms (1.00 calls/frame); draw=8.62/74.53ms; world=7.04/63.99ms [scene=6.84/63.68, scene-detail=[tiles=0.62ms/26.0draws (geometry=0.35ms/26.0draws, water=0.27ms/0.0draws), objects=5.25ms/62.8draws, procedural=0.00ms/0.0draws, entities=0.36ms/4.0draws, effects=0.06ms/2.0draws, weather=0.45ms/0.5draws, other=0.10ms], lighting=0.02/0.05, post=0.03/0.06, overlays=0.05/0.12, other=0.10]; gui=1.55/11.80ms [update=1.13/11.30 (minimap=0.84/10.65 [compact=0.84, fullmap=0.00/0.00], other=0.29), render=0.42/0.93, other=0.00]; finish=0.02/0.04ms; outside-update-draw=0.07ms; draws=132, maps=2, entities=23, lights=3
2026-08-28 18:03:07.628 +02:00 [INF] Client frame profile: measured=93.9fps counter=96 targetMode=-1; interval=10.65/31.22ms avg/max; update=0.09/8.01ms (1.00 calls/frame); draw=10.48/22.34ms; world=8.27/12.75ms [scene=8.04/12.39, scene-detail=[tiles=0.71ms/26.0draws (geometry=0.43ms/26.0draws, water=0.28ms/0.0draws), objects=6.31ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.41ms/3.2draws, effects=0.08ms/2.0draws, weather=0.39ms/2.0draws, other=0.15ms], lighting=0.02/0.06, post=0.03/0.10, overlays=0.07/0.21, other=0.10]; gui=2.17/12.08ms [update=1.69/11.59 (minimap=1.16/10.92 [compact=1.16, fullmap=0.00/0.00], other=0.54), render=0.47/1.08, other=0.00]; finish=0.03/0.07ms; outside-update-draw=0.08ms; draws=130, maps=2, entities=23, lights=3
2026-08-28 18:03:12.634 +02:00 [INF] Client frame profile: measured=100.7fps counter=102 targetMode=-1; interval=9.93/20.69ms avg/max; update=0.06/0.56ms (1.00 calls/frame); draw=9.76/20.57ms; world=7.98/10.99ms [scene=7.77/10.78, scene-detail=[tiles=0.69ms/26.0draws (geometry=0.43ms/26.0draws, water=0.27ms/0.0draws), objects=6.17ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.33ms/2.0draws, effects=0.07ms/2.0draws, weather=0.37ms/2.0draws, other=0.15ms], lighting=0.02/0.05, post=0.03/0.07, overlays=0.06/0.13, other=0.10]; gui=1.75/11.42ms [update=1.31/10.94 (minimap=0.94/10.39 [compact=0.94, fullmap=0.00/0.00], other=0.37), render=0.43/0.74, other=0.00]; finish=0.02/0.06ms; outside-update-draw=0.11ms; draws=134, maps=2, entities=23, lights=3
2026-08-28 18:03:17.653 +02:00 [INF] Client frame profile: measured=55.4fps counter=31 targetMode=-1; interval=18.06/43.74ms avg/max; update=0.09/0.28ms (1.00 calls/frame); draw=10.53/22.08ms; world=8.12/11.02ms [scene=7.90/10.77, scene-detail=[tiles=0.72ms/26.0draws (geometry=0.44ms/26.0draws, water=0.28ms/0.0draws), objects=6.24ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.34ms/2.1draws, effects=0.07ms/1.9draws, weather=0.37ms/2.0draws, other=0.15ms], lighting=0.02/0.04, post=0.03/0.06, overlays=0.06/0.12, other=0.10]; gui=2.38/14.12ms [update=1.92/13.20 (minimap=1.47/12.60 [compact=1.47, fullmap=0.00/0.00], other=0.45), render=0.45/1.06, other=0.00]; finish=0.02/0.07ms; outside-update-draw=7.44ms; draws=130, maps=2, entities=23, lights=3
2026-08-28 18:03:22.656 +02:00 [INF] Client frame profile: measured=37.4fps counter=34 targetMode=-1; interval=26.75/41.26ms avg/max; update=0.20/11.93ms (1.00 calls/frame); draw=11.80/20.28ms; world=8.38/10.59ms [scene=8.14/10.33, scene-detail=[tiles=0.75ms/26.0draws (geometry=0.47ms/26.0draws, water=0.28ms/0.0draws), objects=6.38ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.40ms/2.9draws, effects=0.08ms/2.0draws, weather=0.37ms/2.0draws, other=0.16ms], lighting=0.02/0.05, post=0.03/0.09, overlays=0.07/0.19, other=0.11]; gui=3.38/11.44ms [update=2.91/10.95 (minimap=2.36/10.07 [compact=2.36, fullmap=0.00/0.00], other=0.55), render=0.47/0.66, other=0.00]; finish=0.02/0.06ms; outside-update-draw=14.75ms; draws=136, maps=2, entities=23, lights=3
2026-08-28 18:03:27.674 +02:00 [INF] Client frame profile: measured=86.9fps counter=101 targetMode=-1; interval=11.51/40.85ms avg/max; update=0.12/1.35ms (1.00 calls/frame); draw=10.12/20.32ms; world=8.06/14.79ms [scene=7.85/14.58, scene-detail=[tiles=0.71ms/26.0draws (geometry=0.44ms/26.0draws, water=0.27ms/0.0draws), objects=6.25ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.30ms/1.2draws, effects=0.08ms/2.0draws, weather=0.36ms/2.0draws, other=0.15ms], lighting=0.02/0.05, post=0.03/0.07, overlays=0.06/0.19, other=0.10]; gui=2.03/11.97ms [update=1.53/11.40 (minimap=1.14/10.75 [compact=1.14, fullmap=0.00/0.00], other=0.39), render=0.49/1.54, other=0.00]; finish=0.02/0.07ms; outside-update-draw=1.26ms; draws=134, maps=2, entities=23, lights=3
2026-08-28 18:03:32.681 +02:00 [INF] Client frame profile: measured=102.4fps counter=105 targetMode=-1; interval=9.76/20.98ms avg/max; update=0.08/3.93ms (1.00 calls/frame); draw=9.52/20.21ms; world=7.96/12.03ms [scene=7.75/11.75, scene-detail=[tiles=0.72ms/26.0draws (geometry=0.45ms/26.0draws, water=0.27ms/0.0draws), objects=6.21ms/62.0draws, procedural=0.00ms/0.0draws, entities=0.26ms/0.0draws, effects=0.07ms/2.0draws, weather=0.36ms/2.0draws, other=0.13ms], lighting=0.02/0.06, post=0.03/0.07, overlays=0.06/0.18, other=0.10]; gui=1.54/11.53ms [update=1.38/11.37 (minimap=1.03/10.83 [compact=1.03, fullmap=0.00/0.00], other=0.35), render=0.15/1.06, other=0.00]; finish=0.02/0.08ms; outside-update-draw=0.16ms; draws=110, maps=2, entities=23, lights=3
